Location,Type,Reviews,Overall_Score,Recommendation,Strengths,Weaknesses,scenery_score,scenery_count,accessibility_score,accessibility_count,facilities_score,facilities_count,safety_score,safety_count,value_score,value_count,experience_score,experience_count,service_score,service_count
Dambatenne Tea Factory,Farms,172,0.0848564674096589,2.7,,,0.21590909090909088,66,0.24023809523809522,70,-0.008095238095238079,35,0.2714285714285714,7,0.17239858906525574,90,-0.06634199134199133,154,0.039583333333333325,48
Dambulla Cave Temple,Religious Sites,321,0.2661818513596976,3.2,🏞️ Scenery & Views,,0.4577922077922078,154,0.23467261904761902,224,0.1943181818181818,44,0.13458235753317718,61,0.2918918918918919,185,0.205607340023388,206,0.11874999999999998,24
Damro Labookellie Tea Centre and Tea Garden,Farms,90,0.3730021893814997,3.4,"🏞️ Scenery & Views, 💰 Value for Money, 🎯 Experience & Activities, 👨‍💼 Service & Staff, 🚻 Facilities",,0.4749999999999999,38,0.22666666666666666,30,0.31666666666666665,30,0.07499999999999998,8,0.4215277777777778,48,0.39897741147741145,78,0.3810344827586206,29
Diyaluma Falls,Waterfalls,86,0.2300796332046332,3.1,"👨‍💼 Service & Staff, 🏞️ Scenery & Views",,0.3253424657534247,73,0.20595238095238097,72,0.2111111111111111,27,0.0,19,0.2021367521367521,39,0.19985119047619046,56,0.475,10
Galle Fort,Historic Sites,283,0.4017299638301922,3.5,"🏞️ Scenery & Views, 🎯 Experience & Activities, 👨‍💼 Service & Staff, 🚗 Accessibility, 🛡️ Safety & Crowds",,0.6154362416107383,149,0.34883040935672516,171,0.26278195488721806,133,0.31162790697674414,43,0.29699999999999993,100,0.4496400492564176,207,0.4071428571428571,21
Gangaramaya (Vihara) Buddhist Temple,Religious Sites,289,0.3427120669056153,3.4,"🏞️ Scenery & Views, 💰 Value for Money, 🛡️ Safety & Crowds, 🎯 Experience & Activities",,0.530232558139535,86,0.2064444444444444,75,0.25229885057471263,29,0.31090909090909086,55,0.413095238095238,126,0.3026946107784431,167,0.15666666666666665,20
Glenloch Tea Factory,Farms,302,0.16384248948280125,2.9,🏞️ Scenery & Views,,0.38757309941520474,114,0.2638888888888889,72,0.1269574944071588,149,-0.03513513513513514,37,0.1898809523809524,140,0.08549718196457326,276,0.14681818181818185,110
Gregory Lake,Bodies of Water,256,0.3783556119869737,3.4,"🏞️ Scenery & Views, 🚗 Accessibility, 🚻 Facilities, 👨‍💼 Service & Staff, 🎯 Experience & Activities",,0.5779898218829517,131,0.39870845204178534,135,0.3901234567901235,126,0.06936936936936937,37,0.25689655172413794,116,0.3480923694779116,166,0.3885416666666667,16
Hakgala Botanic Gardens,Gardens,248,0.2427952828450341,3.1,🏞️ Scenery & Views,,0.5226851851851853,108,0.2128205128205128,117,0.24568965517241376,58,0.1655913978494624,31,0.09481175390266298,121,0.22166666666666668,150,0.052777777777777764,18
Halpewatte Tea Factory Tour,Farms,264,0.15784981302222678,2.9,🏞️ Scenery & Views,,0.453888888888889,90,0.14251412429378527,118,0.17194092827004218,79,0.19,20,0.26737351190476194,128,0.008478061244859668,253,0.11515151515151516,66
Handunugoda Tea Estate,Farms,304,0.20002426791781264,3.0,🏞️ Scenery & Views,,0.5050813008130082,82,0.27472222222222226,120,0.09424242424242422,110,0.17013888888888892,24,0.21420408163265303,175,0.13776477599003198,293,0.12578862768736185,79
Hikkaduwa Beach,Beaches,213,0.18341353635471283,3.0,👨‍💼 Service & Staff,,0.24779635258358665,188,0.14292929292929296,99,0.20238095238095238,105,0.05144675925925927,96,0.02408963585434174,51,0.24468085106382984,94,0.3483333333333333,30
Horton Plains National Park,National Parks,193,0.1566473427042136,2.9,,,0.28064069264069263,175,0.008083832335329338,167,0.2261904761904762,63,-0.10729166666666666,56,0.27771352985638703,105,0.14629430847764893,137,0.26749999999999996,20
Isurumuniya Temple,Religious Sites,168,0.25295603089720736,3.1,"🏞️ Scenery & Views, 🚻 Facilities",,0.5106250000000001,80,0.19457831325301203,83,0.3392857142857143,14,0.14615384615384613,26,0.19999999999999998,76,0.17418300653594773,85,-0.095,10
Jaffna Fort,Historic Sites,249,0.2829847908745247,3.2,"🏞️ Scenery & Views, 💰 Value for Money",,0.4400000000000001,95,0.2807116104868914,89,0.006439393939393947,44,-0.052777777777777764,18,0.37204861111111115,96,0.2718029350104822,159,0.152,25
Jaya Sri Maha Bodhi,Religious Sites,290,0.11899592944369063,2.8,,,0.18291666666666664,40,-0.04567099567099567,77,0.16521739130434782,23,-0.010869565217391288,69,0.21763565891472866,86,0.16908903853348298,162,0.23749999999999996,12
Jethawanaramaya Stupa,Religious Sites,196,0.19810363247863247,3.0,"🏞️ Scenery & Views, 🚻 Facilities",,0.4031531531531531,37,0.057650273224043716,61,0.39117647058823524,17,0.23012820512820514,26,0.247,50,0.16818840579710143,115,-0.15833333333333333,6
Jungle Beach,Beaches,183,0.21224881991831143,3.0,"👨‍💼 Service & Staff, 💰 Value for Money",,0.18319865319865322,165,0.20430641821946172,115,0.17799999999999996,100,0.09383269312846779,71,0.45982142857142855,56,0.22055555555555553,75,0.59375,8
Kalametiya Eco Bird Watching,Nature & Wildlife Areas,132,-0.07004824503164696,2.3,,🎯 Experience & Activities,-0.1211698238617481,118,0.20853658536585368,41,-0.06627906976744186,43,0.29634146341463413,41,0.18387096774193545,31,-0.28201058201058204,126,-0.11046511627906974,43
Kalutara Beach,Beaches,218,0.1387708091366628,2.8,💰 Value for Money,,0.11088617265087852,187,0.18776595744680846,94,0.20767973856209154,102,-0.027598566308243724,93,0.41282051282051274,26,0.22715053763440857,93,-0.1758333333333333,20
Kandy Lake,Bodies of Water,301,0.3541134610268688,3.4,"🏞️ Scenery & Views, 🎯 Experience & Activities, 🚗 Accessibility, 💰 Value for Money",,0.47137681159420297,184,0.35583451202263083,202,0.21666666666666665,78,0.1850241545893719,69,0.3365942028985507,46,0.37346153846153846,130,0.1761904761904762,7
Kaudulla National Park,National Parks,202,0.13169565753762646,2.8,👨‍💼 Service & Staff,,0.18847117794486215,133,0.09067857142857143,150,0.11176470588235293,34,-0.16031746031746033,42,0.18888888888888883,63,0.16017897091722597,149,0.59375,8
Kelaniya Raja Maha Vihara,Religious Sites,187,0.3179271708683473,3.3,"🏞️ Scenery & Views, 🚻 Facilities, 💰 Value for Money, 🎯 Experience & Activities",,0.48604651162790685,43,0.08644067796610169,59,0.4420289855072463,23,0.24607843137254895,51,0.41028368794326237,47,0.36584022038567493,121,0.09487179487179483,13
Koneswaram Temple,Religious Sites,264,0.3128968732417008,3.3,"🏞️ Scenery & Views, 👨‍💼 Service & Staff, 💰 Value for Money",,0.4477011494252874,174,0.23151260504201682,119,0.095,50,0.01011904761904763,28,0.3985270049099837,94,0.271264367816092,145,0.4410714285714285,28
Kumana National Park,National Parks,35,0.05204918032786886,2.6,🚻 Facilities,,-0.08055555555555553,30,-0.01666666666666667,28,0.31666666666666665,9,-0.08333333333333333,9,0.18999999999999997,15,0.15297619047619052,28,0.0,3
Lipton�s Seat,Historic Sites,237,0.2953705873164636,3.2,"🏞️ Scenery & Views, 👨‍💼 Service & Staff, 🛡️ Safety & Crowds, 💰 Value for Money",,0.380738002029868,209,0.19917745415318228,206,0.24791666666666662,64,0.3425925925925926,18,0.31743827160493826,108,0.29712577160493825,144,0.35185185185185186,27
Lover's Leap Falls,Waterfalls,194,0.18487012987012988,3.0,💰 Value for Money,🛡️ Safety & Crowds,0.28127572016460906,162,0.12828282828282825,162,0.14509803921568626,51,-0.3732142857142856,28,0.3502347417840375,71,0.1964899361806578,97,0.0,9
Marble Beach,Beaches,145,0.14820398978895707,2.9,"👨‍💼 Service & Staff, 🎯 Experience & Activities",,0.1754333333333333,125,-0.04502923976608188,57,0.1357667584940312,99,0.17549019607843136,51,0.038229755178907705,59,0.3032679738562091,51,0.5029411764705882,17
Martin Wickramasinghe Folk Museum Complex,Museums,86,0.26580310880829017,3.2,"🛡️ Safety & Crowds, 🏞️ Scenery & Views, 💰 Value for Money",,0.5277777777777778,18,0.1361111111111111,30,0.15833333333333333,12,0.8312499999999999,8,0.308108108108108,37,0.19952380952380952,70,0.2111111111111111,18
Mihintale,Religious Sites,279,0.24187622614588905,3.1,"🏞️ Scenery & Views, 💰 Value for Money",,0.4395939086294416,197,0.10655339805825241,206,0.18269230769230768,26,0.14132653061224484,70,0.35034013605442177,112,0.18099366914395817,173,0.0,17
Minneriya National Park,National Parks,231,0.08335713972472295,2.7,,,0.14436936936936937,148,0.06847122914538645,178,0.17395833333333333,48,0.06428571428571428,56,0.1546153846153846,65,-0.004521134296415189,178,0.15833333333333333,18
Minneriya Tusker Safaris,Nature & Wildlife Areas,164,0.06083687479568487,2.7,,"🛡️ Safety & Crowds, 👨‍💼 Service & Staff",0.13888888888888887,102,0.05778816199376947,107,0.12666666666666665,30,-0.2043859649122807,19,0.17179487179487177,52,0.007232893157262902,119,-0.43437499999999996,8
Mirissa Beach,Beaches,217,0.34767490912448895,3.4,"🚻 Facilities, 🏞️ Scenery & Views, 🎯 Experience & Activities",,0.38984184693139917,201,0.29208093493807785,91,0.4104390681003584,124,0.2814932007728619,118,0.2888297872340425,47,0.37122507122507126,117,0.13645833333333335,16
Mount Lavinia Beach,Beaches,180,0.31112062334052953,3.3,"🚻 Facilities, 🏞️ Scenery & Views, 🚗 Accessibility, 🎯 Experience & Activities, 👨‍💼 Service & Staff",,0.35062427409988384,164,0.32253787878787876,88,0.3894389438943895,101,0.15915492957746474,71,0.1958333333333333,48,0.3220880484038379,99,0.3066666666666666,35
Nallur Kovil,Religious Sites,226,0.3009954618650271,3.3,"🚻 Facilities, 💰 Value for Money, 🏞️ Scenery & Views",,0.3880503144654088,106,0.1303921568627451,51,0.5846153846153845,26,0.0361111111111111,42,0.46395348837209294,43,0.287016317016317,130,0.17812499999999998,16
National Zoological Gardens of Sri Lanka,Zoological Gardens,213,0.09693504221063277,2.7,,,0.09312015503875969,172,0.11902173913043478,92,0.07489451476793248,79,-0.13783783783783785,37,0.06912920931612519,107,0.19119994588744588,128,0.095,20
Negombo Beach,Beaches,209,0.10276725589225588,2.8,,,0.0894263490520175,187,0.21860465116279065,86,0.021695402298850565,116,0.0532258064516129,62,0.13163265306122449,49,0.1284564393939394,88,0.15833333333333333,24
New Ranweli Spice Garden,Gardens,212,0.041939670605084134,2.6,,,0.2375,32,0.11801075268817203,62,0.04826839826839826,77,0.09924242424242422,22,0.006057142857142861,125,0.019933862433862443,180,-0.0838235294117647,34
Nilaveli Beach,Beaches,165,0.21843537414965986,3.0,"👨‍💼 Service & Staff, 🎯 Experience & Activities",,0.20635964912280702,152,0.12231638418079095,59,0.22612179487179487,104,0.13194444444444445,72,-8.540177112501205e-18,26,0.43611111111111106,66,0.6045454545454546,11
Passikudah Beach,Beaches,160,0.2439950980392157,3.1,"👨‍💼 Service & Staff, 🎯 Experience & Activities, 💰 Value for Money",,0.29414251207729464,138,0.13948717948717945,65,0.17243589743589743,104,0.17846153846153842,65,0.32156862745098036,34,0.3583333333333332,62,0.475,8
Pedro Tea Factory,Farms,302,0.17980034225269292,2.9,🏞️ Scenery & Views,,0.31637681159420294,115,0.21839080459770116,87,0.1801724137931034,58,0.1357142857142857,35,0.29884403036576945,138,0.08728593343977958,273,0.07222222222222222,81
Pigeon Island National Park,National Parks,206,-0.0071278825995807135,2.5,,,-0.017142857142857133,105,0.056359649122807005,76,0.004878048780487807,82,-0.11382113821138212,82,0.07140151515151515,88,-0.04600694444444445,128,0.08636363636363635,22
